,Latitude,Longitude,Structure_Material,Structure_Type,Town,Bridge_Owner,Bridge_Identification_Number__B,Year_Built,Year_Reconstructed,Structure_Length,Structurally_Deficient,Structure_Category
5137,42.256013,-72.15675197,1.0,2,West Brookfield,0,188,1935,0,8.5,1,1
5138,42.23465997,-72.13296097,8.0,2,West Brookfield,0,189,1950,1985,7.3,1,1
5139,42.27772197,-72.15823,1.0,2,West Brookfield,0,18A,1939,1956,10.5,0,1
5140,42.629365,-72.226211,1.0,2,Athol,0,18B,1937,0,15.5,0,1
5141,42.529549,-72.26204797,1.0,19,Athol,0,18D,1979,0,11.2,1,1
5143,42.27475,-71.76138889,2.0,19,Shirley,0,7Q4,1914,1951,3.7,0,2
5144,42.57688889,-71.61555556,2.0,19,Shirley,0,7Q5,1914,1927,3.7,0,2
5145,42.541639,-71.647627,2.0,19,Shirley,0,7Q7,2011,0,6.7,0,1
5146,41.90114297,-71.34345297,2.0,19,Attleboro,0,3L1,1950,2006,6.6,0,1
5147,41.933061,-71.28787097,3.0,1,Attleboro,0,3L2,1905,1993,12.2,0,1
5148,41.94488497,-71.28831597,2.0,19,Attleboro,0,3L3,1995,0,9.5,0,1
5149,41.942138,-71.28640097,1.0,2,Attleboro,0,3L4,1976,0,29.3,0,1
5150,42.16333333,-73.22361111,8.0,2,Monterey,0,AUB,2000,0,14.6,0,1
5151,42.245012,-71.80284783,4.0,2,Worcester,0,AUG,2007,0,143.2,0,1
5152,42.334819,-73.368046,3.0,6,West Stockbridge,0,AUH,2007,0,22.1,0,1
